,Column1,Column2,Column3,Column4
0,53.77701711654663,54.984864711761475,48.93463206291199,50.07859253883362
1,56.49854135513306,57.24873971939087,56.66556692123413,54.25890922546387
2,70.62084150314331,60.14065647125244,69.22318816184998,55.69921016693115
3,86.48155760765076,67.84109544754028,87.27347159385681,67.3968460559845
4,111.23296070098877,88.20326495170593,118.84004974365234,88.67911434173584
5,148.53095507621765,112.5030767917633,147.88933992385864,111.98996424674988
6,197.23320388793945,144.5501310825348,194.88136553764343,144.53666973114014
7,270.658216714859,188.68191504478455,271.16135001182556,188.08509230613708
8,348.9259977340698,241.0060772895813,349.0011148452759,242.02760529518127
9,592.8115766048431,396.2070097923279,593.0581631660461,397.92359352111816
10,1054.3010306358337,647.1956431865692,1053.2375919818878,645.1965284347534
11,1461.7984054088593,947.2171864509583,1465.4122502803802,942.0611534118652
12,2192.663554906845,1427.9592411518097,2193.6823947429657,1425.8201568126678
13,3220.4834458827972,2059.4861187934875,3219.170783519745,2082.544796228409
